,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,12.0,0.0,4.0,0.0,8.0,0.0,13.3378666666667000,0.0000000000000000
1,0.0,0.0,20.0,0.0,8.0,0.0,12.0,0.0,2.6005280400315200,0.0000000000000000
2,0.0,0.0,28.0,0.0,12.0,0.0,16.0,0.0,1.0767458100558700,0.0000000000000000
3,0.0,0.0,36.0,0.0,16.0,0.0,20.0,0.0,0.2310486110068890,0.0000000000000000
4,0.0,0.0,44.0,0.0,20.0,0.0,24.0,0.0,0.2338543793858840,0.0000000000000000
5,0.0,0.0,52.0,0.0,24.0,0.0,28.0,0.0,0.1079906706284550,0.0000000000000000
6,0.0,0.0,40.0,0.0,16.0,0.0,24.0,0.0,0.5712402504668790,0.0000000000000000
7,0.0,0.0,56.0,0.0,24.0,0.0,32.0,0.0,0.2193396226415090,0.0000000000000000
8,0.0,0.0,64.0,0.0,28.0,0.0,36.0,0.0,0.2328603473911290,0.0000000000000000
9,0.0,0.0,72.0,0.0,32.0,0.0,40.0,0.0,0.2662962461038080,0.0000000000000000
10,0.0,0.0,80.0,0.0,36.0,0.0,44.0,0.0,0.2392925547088310,0.0000000000000000
11,0.0,0.0,88.0,0.0,40.0,0.0,48.0,0.0,0.1876981158955730,0.0000000000000000
12,0.0,0.0,96.0,0.0,44.0,0.0,52.0,0.0,0.1487065666615640,0.0000000000000000
13,0.0,0.0,84.0,0.0,36.0,0.0,48.0,0.0,0.3233158907112870,0.0000000000000000
14,0.0,0.0,100.0,0.0,44.0,0.0,56.0,0.0,0.2330235233568470,0.0000000000000000
15,0.0,0.0,108.0,0.0,48.0,0.0,60.0,0.0,0.2469499368952460,0.0000000000000000
16,0.0,0.0,116.0,0.0,52.0,0.0,64.0,0.0,0.2214195017294980,0.0000000000000000
17,0.0,0.0,124.0,0.0,56.0,0.0,68.0,0.0,0.1765872711955270,0.0000000000000000
18,0.0,0.0,132.0,0.0,60.0,0.0,72.0,0.0,0.1210994797787920,0.0000000000000000
19,0.0,0.0,140.0,0.0,64.0,0.0,76.0,0.0,0.1123533594027730,0.0000000000000000
20,0.0,0.0,128.0,0.0,56.0,0.0,72.0,0.0,0.2048750537238290,0.0000000000000000
