!C:\2020\Myanmar\Data\PARKDD\PARKDD724MCORRAUTOELECREMUBC.dat
0 4 8 12 -2.17777 0.0549204
0 4 12 16 -0.994452 0.0954607
0 4 16 20 -0.339478 0.117485
0 4 20 24 -0.114404 0.704571
0 4 24 28 -0.0484339 0.185623
0 8 24 32 -0.184519 0.517985
0 8 32 40 -0.0718398 0.931839
0 8 36 44 -0.0498518 0.0529905
0 8 44 52 -0.0220192 0.846502
0 8 40 48 -0.0375303 0.0657373
0 8 48 56 -0.0288333 0.25846
0 8 52 60 -0.0191803 4.80533
0 12 52 64 -0.036982 0.880343
0 12 64 76 -0.0282874 1.04572
0 12 60 72 -0.0265558 0.12427
0 12 72 84 -0.017517 0.979848
0 12 68 80 -0.0272154 1.25536
0 12 80 92 -0.0157994 0.877902
0 12 76 88 -0.0172873 0.68543
0 16 76 92 -0.0328461 0.0433943
0 16 92 108 -0.0202507 0.257455
0 16 84 100 -0.0259283 0.0491598
0 16 100 116 -0.0141029 1.01279
0 16 88 104 -0.0232754 0.0729782
0 16 104 120 -0.0125198 0.284536
0 16 96 112 -0.0173011 0.12311
0 20 100 120 -0.0256576 1.73315
0 20 120 140 -0.014209 0.416979
0 20 108 128 -0.0199176 3.07743
0 20 128 148 -0.0127851 3.46459
0 20 112 132 -0.0176368 0.360555
0 20 116 136 -0.0154084 2.62596
0 20 124 144 -0.0133619 0.493789
0 24 124 148 -0.0174971 2.45737
0 24 148 172 -0.0138604 3.17459
0 24 132 156 -0.0156022 0.0833858
0 24 136 160 -0.0147841 2.91636
0 24 140 164 -0.0137773 0.0931712
0 24 144 168 -0.0127443 1.54222
0 24 152 176 -0.0120872 0.276587
0 28 148 176 -0.01712 2.15774
0 28 176 204 -0.0138914 3.877
0 28 156 184 -0.0163513 0.379538
0 28 160 188 -0.0141534 1.41013
0 28 164 192 -0.0150407 0.074059
0 28 168 196 -0.0114312 1.77582
0 28 172 200 -0.0115971 0.106245
0 32 172 204 -0.0156471 2.20708
0 32 204 236 -0.0136895 3.40691
0 32 180 212 -0.0121376 0.0514434
0 32 184 216 -0.0126057 1.25041
0 32 188 220 -0.0150353 0.0734256
0 32 192 224 -0.0134175 1.96207
0 32 196 228 -0.0134966 0.239658
0 32 200 232 -0.0130454 2.70913
0 36 196 232 -0.0172181 0.140868
4 8 12 16 -3.57092 0.0473675
4 8 16 20 -0.822376 0.0694386
4 8 20 24 -0.170102 0.132535
4 8 24 28 -0.0857239 0.193136
4 8 28 32 -0.0394861 0.168879
4 8 32 36 -0.026588 9.02886
4 12 28 36 -0.178931 0.907224
4 12 36 44 -0.0651775 1.12612
4 12 40 48 -0.0494051 0.0754367
