,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,10.0,0.0,20.0,0.0,30.0,0.0,-6.232850276229404,0.3116425138114702
1,0.0,0.0,10.0,0.0,30.0,0.0,40.0,0.0,-1.5143226141463955,0.07571613070731978
2,0.0,0.0,10.0,0.0,40.0,0.0,50.0,0.0,-0.5420562292961587,0.027102811464807933
3,0.0,0.0,10.0,0.0,50.0,0.0,60.0,0.0,-0.2585257568501316,0.01292628784250658
4,0.0,0.0,10.0,0.0,60.0,0.0,70.0,0.0,-0.15590253736053453,0.007795126868026726
5,0.0,0.0,10.0,0.0,70.0,0.0,80.0,0.0,-0.10071100220037874,0.005035550110018937
6,0.0,0.0,10.0,0.0,80.0,0.0,90.0,0.0,-0.07729591341416933,0.0038647956707084665
7,0.0,0.0,10.0,0.0,90.0,0.0,100.0,0.0,-0.024130737808471237,0.0012065368904235617
8,10.0,0.0,20.0,0.0,30.0,0.0,40.0,0.0,-5.960373667248412,0.2980186833624206
9,10.0,0.0,20.0,0.0,40.0,0.0,50.0,0.0,-1.4727223095628426,0.07363611547814213
10,10.0,0.0,20.0,0.0,50.0,0.0,60.0,0.0,-0.5500035275966239,0.027500176379831195
11,10.0,0.0,20.0,0.0,60.0,0.0,70.0,0.0,-0.3108315707662521,0.015541578538312607
12,10.0,0.0,20.0,0.0,70.0,0.0,80.0,0.0,-0.18027183809829248,0.009013591904914624
13,10.0,0.0,20.0,0.0,80.0,0.0,90.0,0.0,-0.10838607707205379,0.00541930385360269
14,10.0,0.0,20.0,0.0,90.0,0.0,100.0,0.0,-0.03616770258600512,0.0018083851293002563
15,10.0,0.0,20.0,0.0,100.0,0.0,110.0,0.0,-0.013535346235756553,0.0006767673117878278
16,20.0,0.0,30.0,0.0,40.0,0.0,50.0,0.0,-5.928753837218721,0.29643769186093605
17,20.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,-1.527625140375673,0.07638125701878366
18,20.0,0.0,30.0,0.0,60.0,0.0,70.0,0.0,-0.5630712865064569,0.02815356432532284
19,20.0,0.0,30.0,0.0,70.0,0.0,80.0,0.0,-0.30267272263434397,0.015133636131717199
20,20.0,0.0,30.0,0.0,80.0,0.0,90.0,0.0,-0.19081637711688818,0.009540818855844409
21,20.0,0.0,30.0,0.0,90.0,0.0,100.0,0.0,-0.05815091993092872,0.0029075459965464357
22,20.0,0.0,30.0,0.0,100.0,0.0,110.0,0.0,-0.019422802562366778,0.000971140128118339
23,20.0,0.0,30.0,0.0,110.0,0.0,120.0,0.0,-0.02468114941581795,0.0012340574707908974
24,30.0,0.0,40.0,0.0,50.0,0.0,60.0,0.0,-5.970964912779494,0.2985482456389747
25,30.0,0.0,40.0,0.0,60.0,0.0,70.0,0.0,-1.4891561340573285,0.07445780670286642
26,30.0,0.0,40.0,0.0,70.0,0.0,80.0,0.0,-0.5836135972102768,0.029180679860513842
27,30.0,0.0,40.0,0.0,80.0,0.0,90.0,0.0,-0.3274381791595384,0.01637190895797692
28,30.0,0.0,40.0,0.0,90.0,0.0,100.0,0.0,-0.09331809739143715,0.0046659048695718575
29,30.0,0.0,40.0,0.0,100.0,0.0,110.0,0.0,-0.029994429932794883,0.001499721496639744
30,30.0,0.0,40.0,0.0,110.0,0.0,120.0,0.0,-0.03924457208158019,0.00196222860407901
31,30.0,0.0,40.0,0.0,120.0,0.0,130.0,0.0,-0.03157601115873576,0.0015788005579367881
32,40.0,0.0,50.0,0.0,60.0,0.0,70.0,0.0,-5.95748874320088,0.297874437160044
33,40.0,0.0,50.0,0.0,70.0,0.0,80.0,0.0,-1.5213251082429402,0.07606625541214701
34,40.0,0.0,50.0,0.0,80.0,0.0,90.0,0.0,-0.6346472642168804,0.03173236321084402
35,40.0,0.0,50.0,0.0,90.0,0.0,100.0,0.0,-0.1804192641971628,0.009020963209858141
36,40.0,0.0,50.0,0.0,100.0,0.0,110.0,0.0,-0.04820113498429991,0.0024100567492149954
37,40.0,0.0,50.0,0.0,110.0,0.0,120.0,0.0,-0.05953931518613305,0.002976965759306652
38,40.0,0.0,50.0,0.0,120.0,0.0,130.0,0.0,-0.04530936371136625,0.002265468185568312
39,40.0,0.0,50.0,0.0,130.0,0.0,140.0,0.0,-0.032052579980778206,0.0016026289990389102
40,50.0,0.0,60.0,0.0,70.0,0.0,80.0,0.0,-6.172635232915618,0.3086317616457809
41,50.0,0.0,60.0,0.0,80.0,0.0,90.0,0.0,-1.60555270341327,0.0802776351706635
42,50.0,0.0,60.0,0.0,90.0,0.0,100.0,0.0,-0.3544309411883797,0.017721547059418984
43,50.0,0.0,60.0,0.0,100.0,0.0,110.0,0.0,-0.08802440955459216,0.0044012204777296084
44,50.0,0.0,60.0,0.0,110.0,0.0,120.0,0.0,-0.09097699507854369,0.004548849753927184
45,50.0,0.0,60.0,0.0,120.0,0.0,130.0,0.0,-0.07063603106956658,0.0035318015534783285
46,50.0,0.0,60.0,0.0,130.0,0.0,140.0,0.0,-0.04267200047651131,0.0021336000238255655
47,50.0,0.0,60.0,0.0,140.0,0.0,150.0,0.0,-0.035256407033988836,0.0017628203516994417
48,60.0,0.0,70.0,0.0,80.0,0.0,90.0,0.0,-6.395331620545107,0.31976658102725536
49,60.0,0.0,70.0,0.0,90.0,0.0,100.0,0.0,-1.034315762678088,0.0517157881339044
50,60.0,0.0,70.0,0.0,100.0,0.0,110.0,0.0,-0.18685189759321214,0.009342594879660606
51,60.0,0.0,70.0,0.0,110.0,0.0,120.0,0.0,-0.14464476945409513,0.007232238472704756
52,60.0,0.0,70.0,0.0,120.0,0.0,130.0,0.0,-0.11288533170612906,0.005644266585306454
53,60.0,0.0,70.0,0.0,130.0,0.0,140.0,0.0,-0.07746093709404808,0.0038730468547024046
54,60.0,0.0,70.0,0.0,140.0,0.0,150.0,0.0,-0.047477077415051354,0.0023738538707525677
55,60.0,0.0,70.0,0.0,150.0,0.0,160.0,0.0,-0.03201694302818123,0.0016008471514090614
56,80.0,0.0,90.0,0.0,100.0,0.0,110.0,0.0,-3.3501751855278337,0.16750875927639167
57,80.0,0.0,90.0,0.0,110.0,0.0,120.0,0.0,-0.56746895820539,0.0283734479102695
58,80.0,0.0,90.0,0.0,120.0,0.0,130.0,0.0,-0.2714401959600279,0.013572009798001394
59,80.0,0.0,90.0,0.0,130.0,0.0,140.0,0.0,-0.14231284699582172,0.007115642349791086
60,80.0,0.0,90.0,0.0,140.0,0.0,150.0,0.0,-0.09017321728858202,0.004508660864429101
61,80.0,0.0,90.0,0.0,150.0,0.0,160.0,0.0,-0.05805725894052306,0.002902862947026153
62,80.0,0.0,90.0,0.0,160.0,0.0,170.0,0.0,-0.037298516324993994,0.0018649258162496995
63,80.0,0.0,90.0,0.0,170.0,0.0,180.0,0.0,-0.02819501995800986,0.001409750997900493
64,100.0,0.0,110.0,0.0,120.0,0.0,130.0,0.0,-5.150656398104073,0.25753281990520366
65,100.0,0.0,110.0,0.0,130.0,0.0,140.0,0.0,-1.0416112711330516,0.05208056355665258
66,100.0,0.0,110.0,0.0,140.0,0.0,150.0,0.0,-0.3959396879407876,0.01979698439703938
67,100.0,0.0,110.0,0.0,150.0,0.0,160.0,0.0,-0.17767063188104149,0.008883531594052075
68,100.0,0.0,110.0,0.0,160.0,0.0,170.0,0.0,-0.1025305185580625,0.005126525927903125
69,100.0,0.0,110.0,0.0,170.0,0.0,180.0,0.0,-0.05031282566739968,0.0025156412833699845
70,100.0,0.0,110.0,0.0,180.0,0.0,190.0,0.0,-0.03542175803954407,0.0017710879019772032
