,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,10.0,0.0,20.0,0.0,20.0,0.0,-9.23178278117421,0.4615891390587105
1,0.0,0.0,10.0,0.0,30.0,0.0,30.0,0.0,-2.965181230606221,0.14825906153031107
2,0.0,0.0,10.0,0.0,40.0,0.0,40.0,0.0,-1.3264160819570978,0.06632080409785489
3,0.0,0.0,10.0,0.0,50.0,0.0,50.0,0.0,-0.7607248251102205,0.03803624125551103
4,0.0,0.0,10.0,0.0,60.0,0.0,60.0,0.0,-0.5277172732448994,0.02638586366224497
5,0.0,0.0,10.0,0.0,70.0,0.0,70.0,0.0,-0.363773899972892,0.0181886949986446
6,0.0,0.0,10.0,0.0,80.0,0.0,80.0,0.0,-0.29041005574845374,0.014520502787422687
7,0.0,0.0,10.0,0.0,90.0,0.0,90.0,0.0,-0.20463009769861923,0.010231504884930962
8,10.0,0.0,20.0,0.0,30.0,0.0,30.0,0.0,-8.84098289613497,0.44204914480674845
9,10.0,0.0,20.0,0.0,40.0,0.0,40.0,0.0,-2.8896986894948076,0.14448493447474037
10,10.0,0.0,20.0,0.0,50.0,0.0,50.0,0.0,-1.342171468666852,0.06710857343334259
11,10.0,0.0,20.0,0.0,60.0,0.0,60.0,0.0,-0.8935388721865739,0.044676943609328695
12,10.0,0.0,20.0,0.0,70.0,0.0,70.0,0.0,-0.5634631558891036,0.028173157794455176
13,10.0,0.0,20.0,0.0,80.0,0.0,80.0,0.0,-0.35247914388771123,0.017623957194385562
14,10.0,0.0,20.0,0.0,90.0,0.0,90.0,0.0,-0.2575514223704117,0.012877571118520583
15,10.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0,-0.23519609842885944,0.011759804921442971
16,20.0,0.0,30.0,0.0,40.0,0.0,40.0,0.0,-8.79559723837811,0.43977986191890545
17,20.0,0.0,30.0,0.0,50.0,0.0,50.0,0.0,-2.9866181290853127,0.14933090645426564
18,20.0,0.0,30.0,0.0,60.0,0.0,60.0,0.0,-1.344572658672794,0.0672286329336397
19,20.0,0.0,30.0,0.0,70.0,0.0,70.0,0.0,-0.8050685205223927,0.04025342602611964
20,20.0,0.0,30.0,0.0,80.0,0.0,80.0,0.0,-0.5269960452827882,0.02634980226413941
21,20.0,0.0,30.0,0.0,90.0,0.0,90.0,0.0,-0.33584554585960097,0.016792277292980048
22,20.0,0.0,30.0,0.0,100.0,0.0,100.0,0.0,-0.2841947409342086,0.014209737046710429
23,20.0,0.0,30.0,0.0,110.0,0.0,110.0,0.0,-0.2390395167108012,0.01195197583554006
24,30.0,0.0,40.0,0.0,50.0,0.0,50.0,0.0,-8.838586620903945,0.44192933104519727
25,30.0,0.0,40.0,0.0,60.0,0.0,60.0,0.0,-2.8637964534083764,0.14318982267041883
26,30.0,0.0,40.0,0.0,70.0,0.0,70.0,0.0,-1.2996554591964726,0.06498277295982363
27,30.0,0.0,40.0,0.0,80.0,0.0,80.0,0.0,-0.7577683563279713,0.03788841781639857
28,30.0,0.0,40.0,0.0,90.0,0.0,90.0,0.0,-0.42252417429813327,0.021126208714906666
29,30.0,0.0,40.0,0.0,100.0,0.0,100.0,0.0,-0.3561968831939644,0.01780984415969822
30,30.0,0.0,40.0,0.0,110.0,0.0,110.0,0.0,-0.3258690682051646,0.01629345341025823
31,30.0,0.0,40.0,0.0,120.0,0.0,120.0,0.0,-0.2711280082064991,0.013556400410324956
32,40.0,0.0,50.0,0.0,60.0,0.0,60.0,0.0,-8.745438877378621,0.43727194386893103
33,40.0,0.0,50.0,0.0,70.0,0.0,70.0,0.0,-2.772101082802001,0.13860505414010005
34,40.0,0.0,50.0,0.0,80.0,0.0,80.0,0.0,-1.2210530787548246,0.06105265393774123
35,40.0,0.0,50.0,0.0,90.0,0.0,90.0,0.0,-0.6205034477604692,0.031025172388023457
36,40.0,0.0,50.0,0.0,100.0,0.0,100.0,0.0,-0.44640571948961594,0.022320285974480797
37,40.0,0.0,50.0,0.0,110.0,0.0,110.0,0.0,-0.41325068986315106,0.020662534493157553
38,40.0,0.0,50.0,0.0,120.0,0.0,120.0,0.0,-0.32993685748990026,0.016496842874495012
39,40.0,0.0,50.0,0.0,130.0,0.0,130.0,0.0,-0.2803119880367087,0.014015599401835435
40,50.0,0.0,60.0,0.0,70.0,0.0,70.0,0.0,-8.804174527745365,0.44020872638726827
41,50.0,0.0,60.0,0.0,80.0,0.0,80.0,0.0,-2.555038514752038,0.1277519257376019
42,50.0,0.0,60.0,0.0,90.0,0.0,90.0,0.0,-0.8986741561904404,0.04493370780952202
43,50.0,0.0,60.0,0.0,100.0,0.0,100.0,0.0,-0.6069150664763838,0.03034575332381919
44,50.0,0.0,60.0,0.0,110.0,0.0,110.0,0.0,-0.516640949004114,0.0258320474502057
45,50.0,0.0,60.0,0.0,120.0,0.0,120.0,0.0,-0.4260840360990771,0.021304201804953852
46,50.0,0.0,60.0,0.0,130.0,0.0,130.0,0.0,-0.3146188554947587,0.015730942774737935
47,50.0,0.0,60.0,0.0,140.0,0.0,140.0,0.0,-0.32035013678614094,0.01601750683930705
48,60.0,0.0,70.0,0.0,80.0,0.0,80.0,0.0,-8.326729237030957,0.4163364618515479
49,60.0,0.0,70.0,0.0,90.0,0.0,90.0,0.0,-1.8852366007744816,0.09426183003872408
