,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,3.187764769816821,0.15938823849084105
1,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,1.7206753958725358,0.08603376979362679
2,0.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,1.2078854635891565,0.06039427317945782
3,0.0,0.0,0.0,0.0,50.0,0.0,60.0,0.0,0.8077844114580826,0.04038922057290413
4,0.0,0.0,0.0,0.0,60.0,0.0,70.0,0.0,0.6972152557954965,0.034860762789774825
5,0.0,0.0,0.0,0.0,70.0,0.0,80.0,0.0,0.67885441509444,0.033942720754722
6,0.0,0.0,0.0,0.0,80.0,0.0,90.0,0.0,0.5458888269981862,0.02729444134990931
7,0.0,0.0,0.0,0.0,90.0,0.0,100.0,0.0,0.18558724869270243,0.00927936243463512
8,10.0,0.0,10.0,0.0,30.0,0.0,40.0,0.0,3.1943952399588746,0.15971976199794372
9,10.0,0.0,10.0,0.0,40.0,0.0,50.0,0.0,1.656454859970981,0.08282274299854904
10,10.0,0.0,10.0,0.0,50.0,0.0,60.0,0.0,1.2032754435222945,0.060163772176114724
11,10.0,0.0,10.0,0.0,60.0,0.0,70.0,0.0,0.8993080570322507,0.04496540285161253
12,10.0,0.0,10.0,0.0,70.0,0.0,80.0,0.0,0.7310366255126004,0.03655183127563002
13,10.0,0.0,10.0,0.0,80.0,0.0,90.0,0.0,0.6043382033240341,0.030216910166201708
14,10.0,0.0,10.0,0.0,90.0,0.0,100.0,0.0,0.21126607435483644,0.01056330371774182
15,10.0,0.0,10.0,0.0,100.0,0.0,110.0,0.0,0.12800103262039614,0.006400051631019807
16,20.0,0.0,20.0,0.0,40.0,0.0,50.0,0.0,3.172915398188593,0.15864576990942963
17,20.0,0.0,20.0,0.0,50.0,0.0,60.0,0.0,1.727098214655522,0.0863549107327761
18,20.0,0.0,20.0,0.0,60.0,0.0,70.0,0.0,1.238449223530658,0.0619224611765329
19,20.0,0.0,20.0,0.0,70.0,0.0,80.0,0.0,0.9286672015179828,0.04643336007589914
20,20.0,0.0,20.0,0.0,80.0,0.0,90.0,0.0,0.7507947979582019,0.037539739897910096
21,20.0,0.0,20.0,0.0,90.0,0.0,100.0,0.0,0.24346041567632934,0.012173020783816466
22,20.0,0.0,20.0,0.0,100.0,0.0,110.0,0.0,0.12671900386555682,0.006335950193277841
23,20.0,0.0,20.0,0.0,110.0,0.0,120.0,0.0,0.25825207401325545,0.012912603700662773
24,30.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,3.2077086228236555,0.16038543114118275
25,30.0,0.0,30.0,0.0,60.0,0.0,70.0,0.0,1.77956381884914,0.08897819094245701
26,30.0,0.0,30.0,0.0,70.0,0.0,80.0,0.0,1.2780594818958955,0.06390297409479477
27,30.0,0.0,30.0,0.0,80.0,0.0,90.0,0.0,0.9022746650855429,0.04511373325427714
28,30.0,0.0,30.0,0.0,90.0,0.0,100.0,0.0,0.304683408463184,0.015234170423159199
29,30.0,0.0,30.0,0.0,100.0,0.0,110.0,0.0,0.1419461522890379,0.007097307614451895
30,30.0,0.0,30.0,0.0,110.0,0.0,120.0,0.0,0.28465819717032564,0.014232909858516283
31,30.0,0.0,30.0,0.0,120.0,0.0,130.0,0.0,0.2873613147580484,0.014368065737902417
32,40.0,0.0,40.0,0.0,60.0,0.0,70.0,0.0,3.192637331872354,0.15963186659361772
33,40.0,0.0,40.0,0.0,70.0,0.0,80.0,0.0,1.8771615513574247,0.09385807756787123
34,40.0,0.0,40.0,0.0,80.0,0.0,90.0,0.0,1.333058369050279,0.06665291845251396
35,40.0,0.0,40.0,0.0,90.0,0.0,100.0,0.0,0.3946851976040999,0.019734259880204996
