,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,10.0,0.0,20.0,0.0,30.0,0.0,-5.923217007127085,0.0
1,0.0,0.0,10.0,0.0,30.0,0.0,40.0,0.0,-1.4557878732204752,0.0
2,0.0,0.0,10.0,0.0,40.0,0.0,50.0,0.0,-0.5699274769218248,0.0
3,0.0,0.0,10.0,0.0,50.0,0.0,60.0,0.0,-0.27983521525766897,0.0
4,0.0,0.0,10.0,0.0,60.0,0.0,70.0,0.0,-0.15977828147898376,0.0
5,0.0,0.0,10.0,0.0,70.0,0.0,80.0,0.0,-0.10436688543147764,0.0
6,0.0,0.0,10.0,0.0,80.0,0.0,90.0,0.0,-0.07247960536686361,0.0
7,0.0,0.0,10.0,0.0,90.0,0.0,100.0,0.0,-0.022658772298264802,0.0
8,10.0,0.0,20.0,0.0,30.0,0.0,40.0,0.0,-5.925484711049059,0.0
9,10.0,0.0,20.0,0.0,40.0,0.0,50.0,0.0,-1.4594027386707868,0.0
10,10.0,0.0,20.0,0.0,50.0,0.0,60.0,0.0,-0.5748373358738542,0.0
11,10.0,0.0,20.0,0.0,60.0,0.0,70.0,0.0,-0.286910477020892,0.0
12,10.0,0.0,20.0,0.0,70.0,0.0,80.0,0.0,-0.17054171176458408,0.0
13,10.0,0.0,20.0,0.0,80.0,0.0,90.0,0.0,-0.11148233823183429,0.0
14,10.0,0.0,20.0,0.0,90.0,0.0,100.0,0.0,-0.033791664722772875,0.0
15,10.0,0.0,20.0,0.0,100.0,0.0,110.0,0.0,-0.014065023350388672,0.0
16,20.0,0.0,30.0,0.0,40.0,0.0,50.0,0.0,-5.930106267466174,0.0
17,20.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,-1.465832303323013,0.0
18,20.0,0.0,30.0,0.0,60.0,0.0,70.0,0.0,-0.5846947134157261,0.0
19,20.0,0.0,30.0,0.0,70.0,0.0,80.0,0.0,-0.30292566874932375,0.0
20,20.0,0.0,30.0,0.0,80.0,0.0,90.0,0.0,-0.18233339390448938,0.0
21,20.0,0.0,30.0,0.0,90.0,0.0,100.0,0.0,-0.05311121700839691,0.0
22,20.0,0.0,30.0,0.0,100.0,0.0,110.0,0.0,-0.020331803563010308,0.0
23,20.0,0.0,30.0,0.0,110.0,0.0,120.0,0.0,-0.031147036732852844,0.0
24,30.0,0.0,40.0,0.0,50.0,0.0,60.0,0.0,-5.939180598864738,0.0
25,30.0,0.0,40.0,0.0,60.0,0.0,70.0,0.0,-1.480724176280765,0.0
26,30.0,0.0,40.0,0.0,70.0,0.0,80.0,0.0,-0.6105521363515202,0.0
27,30.0,0.0,40.0,0.0,80.0,0.0,90.0,0.0,-0.3246246433369757,0.0
28,30.0,0.0,40.0,0.0,90.0,0.0,100.0,0.0,-0.08958367236703704,0.0
29,30.0,0.0,40.0,0.0,100.0,0.0,110.0,0.0,-0.030920676708524674,0.0
30,30.0,0.0,40.0,0.0,110.0,0.0,120.0,0.0,-0.044310931825735436,0.0
31,30.0,0.0,40.0,0.0,120.0,0.0,130.0,0.0,-0.036631163861510115,0.0
32,40.0,0.0,50.0,0.0,60.0,0.0,70.0,0.0,-5.963760892483456,0.0
33,40.0,0.0,50.0,0.0,70.0,0.0,80.0,0.0,-1.5264331209534758,0.0
34,40.0,0.0,50.0,0.0,80.0,0.0,90.0,0.0,-0.6550093411283667,0.0
35,40.0,0.0,50.0,0.0,90.0,0.0,100.0,0.0,-0.16643240557536168,0.0
36,40.0,0.0,50.0,0.0,100.0,0.0,110.0,0.0,-0.05029095293847908,0.0
37,40.0,0.0,50.0,0.0,110.0,0.0,120.0,0.0,-0.06604549339882648,0.0
38,40.0,0.0,50.0,0.0,120.0,0.0,130.0,0.0,-0.0525434513798599,0.0
39,40.0,0.0,50.0,0.0,130.0,0.0,140.0,0.0,-0.037342902883675956,0.0
40,50.0,0.0,60.0,0.0,70.0,0.0,80.0,0.0,-6.053691485985815,0.0
41,50.0,0.0,60.0,0.0,80.0,0.0,90.0,0.0,-1.630524239759203,0.0
42,50.0,0.0,60.0,0.0,90.0,0.0,100.0,0.0,-0.3573988150127057,0.0
43,50.0,0.0,60.0,0.0,100.0,0.0,110.0,0.0,-0.0895795321968363,0.0
