!C:\2020\Myanmar\Data\kawpiphtaddsautorhoubc.dat
0 10 20 30 -5.48156 0.0436387
0 10 30 40 -0.660484 0.0801739
0 10 40 50 -0.174481 0.0574564
0 10 50 60 -0.0731515 0.173908
0 10 60 70 -0.0239546 0.419576
0 10 70 80 -0.0224175 0.306898
0 20 60 80 -0.157492 0.0765657
0 20 80 100 -0.0431422 0.525598
0 20 90 110 -0.0348272 0.277345
0 20 110 130 -0.0245347 0.0770424
0 20 100 120 -0.0296137 0.405694
0 20 120 140 -0.0164838 0.363286
0 20 130 150 -0.020013 0.203261
0 30 130 160 -0.0437696 0.0898021
0 30 160 190 -0.0262619 0.288837
0 30 180 210 -0.0194595 0.663785
0 30 200 230 -0.0120845 0.565803
0 40 190 230 -0.0364182 0.0464864
0 40 230 270 -0.0212869 0.426183
0 40 210 250 -0.0241254 0.314878
0 40 250 290 -0.0217493 1.32835
0 40 220 260 -0.0283871 0.379395
0 40 260 300 -0.0319499 1.38343
0 40 240 280 -0.0179271 1.16275
0 50 250 300 -0.0345518 1.41886
0 50 300 350 -0.028024 0.362482
0 50 270 320 -0.0356927 0.719461
0 50 320 370 -0.0178899 0.543236
0 50 280 330 -0.0279421 1.4301
0 50 310 360 -0.0150066 1.0638
0 60 310 370 -0.0266299 1.6257
0 60 370 430 -0.0161463 0.718962
0 60 330 390 -0.0152009 1.55217
0 60 360 420 -0.013929 0.505485
0 60 380 440 -0.0247408 3.88932
0 70 440 510 -0.018048 0.653962
0 70 400 470 -0.0123326 0.837147
0 70 410 480 -0.0135477 7.66537
0 80 430 510 -0.0128166 0.330346
0 80 510 590 -0.010146 1.01566
0 80 450 530 -0.0111022 0.162421
0 80 460 540 -0.0109612 0.296062
0 80 470 550 -0.0111267 0.955894
0 80 480 560 -0.00974373 0.556792
0 80 490 570 -0.0119304 0.450575
0 80 500 580 -0.00937634 0.664441
0 90 590 680 -0.00395161 4.14928
10 20 30 40 -5.221 0.0264522
10 20 40 50 -0.674997 0.0511509
10 20 50 60 -0.198731 0
10 20 60 70 -0.0735016 0.0625565
10 20 70 80 -0.0246806 0.0604155
10 20 80 90 -0.0224175 15.0714
10 30 70 90 -0.155553 1.04341
10 30 90 110 -0.0442503 2.31982
10 30 100 120 -0.0348718 0.811063
10 30 120 140 -0.0246885 0.915151
10 30 110 130 -0.0299654 0.190679
10 30 130 150 -0.016612 0.419769
10 30 140 160 -0.0213615 0.42511
10 40 140 170 -0.0446444 0.211972
10 40 170 200 -0.0266508 0.238886
10 40 160 190 -0.0372277 0.463238
10 40 190 220 -0.0199093 0.557915
10 40 180 210 -0.0308065 1.27543
10 40 210 240 -0.0128208 10.079
10 40 200 230 -0.0208136 0.529675
10 50 200 240 -0.037063 0.546347
10 50 240 280 -0.021345 2.12171
10 50 220 260 -0.0241254 1.09809
10 50 230 270 -0.0283871 0.982971
10 50 250 290 -0.0179271 1.53424
10 60 260 310 -0.0335066 1.17054
10 60 310 360 -0.028024 1.05499
10 60 280 330 -0.0342838 1.18816
10 60 330 380 -0.0181516 1.29813
10 60 290 340 -0.0272306 1.63396
10 60 300 350 -0.026039 1.90668
10 60 320 370 -0.0151731 0.896041
10 70 380 440 -0.0160809 1.57379
10 70 360 420 -0.0151124 7.01599
10 70 370 430 -0.0146327 2.66624
10 80 380 450 -0.016071 1.02891
10 80 400 470 -0.0144953 0.512037
10 80 410 480 -0.0122585 0.497653
10 80 420 490 -0.0134785 1.24236
10 80 430 500 -0.0138718 0.922263
10 80 440 510 -0.00984071 0.910766
10 90 440 520 -0.0128057 0.767325
10 90 520 600 -0.010146 0.72614
10 90 460 540 -0.0111022 0.756197
10 90 490 570 -0.00974373 12.6497
20 30 40 50 -4.69363 0.0416123
20 30 50 60 -0.751057 0
20 30 60 70 -0.198731 0
20 30 70 80 -0.0735016 0.436226
20 30 80 90 -0.0269815 1.1747
20 40 80 100 -0.14963 0.464353
20 40 100 120 -0.0455346 2.5625
20 40 110 130 -0.0349609 0
20 40 130 150 -0.0248839 0.506523
20 40 120 140 -0.0304163 0.201851
20 40 140 160 -0.0163812 0.884432
20 40 150 170 -0.0216051 0.518944
20 50 150 180 -0.0448385 1.01463
20 50 180 210 -0.0284798 2.32288
20 50 170 200 -0.0391251 1.06404
20 50 200 230 -0.0190996 2.51311
20 50 190 220 -0.0308108 2.30948
20 50 210 240 -0.0208136 1.01081
20 60 210 250 -0.037063 0.278121
20 60 230 270 -0.0241254 0.457493
20 60 270 310 -0.0216691 14.8853
20 60 240 280 -0.0270227 1.80928
20 60 280 320 -0.0314694 0.185552
20 60 260 300 -0.0179271 1.4857
20 70 270 320 -0.0324314 0.610892
20 70 320 370 -0.0280346 0.0305134
20 70 290 340 -0.0344851 2.18632
20 70 300 350 -0.0269132 2.39208
20 70 310 360 -0.0260242 2.4223
20 80 330 390 -0.0267729 0.751806
20 80 390 450 -0.0160809 2.82002
20 80 350 410 -0.0161183 0.6618
20 80 360 420 -0.0178656 0.581591
20 80 370 430 -0.0154221 0.607116
20 80 380 440 -0.01518 1.10992
20 80 400 460 -0.0247879 1.00087
20 90 460 530 -0.0179622 1.5313
20 90 410 480 -0.0143703 1.87125
20 90 420 490 -0.0122008 19.9065
20 90 440 510 -0.0138921 6.36162
20 90 450 520 -0.00984071 4.68589
20 100 450 530 -0.0128057 4.89746
20 110 580 670 -0.00614776 3.00999
20 110 590 680 -0.00585314 3.04018
