AB/2 (m),MN/2 (m),K,V (mV),I (mA),V/I,App. Res. (Ohm m)
6,2,25.13,48.16,4.176,11.53256705,289.82
12,4,50.27,50.58,9.559,5.291348467,265.96
18,6,75.4,51.356,17.544,2.927268582,220.71
24,8,100.53,36.274,21.213,1.709989158,171.91
30,10,125.66,49.301,39.252,1.256012432,157.83
36,12,150.8,31.921,32.037,0.996379187,150.25
42,14,175.93,28.423,33.01,0.861042108,151.48
48,16,201.06,12.539,15.078,0.831608967,167.2
54,18,226.19,43.459,56.475,0.769526339,174.06
60,20,251.33,15.094,20.954,0.720339792,181.04
66,22,276.46,13.414,20.749,0.646488987,178.72
72,24,301.59,30.866,47.24,0.65338696,197.06
78,26,326.73,49.676,83.611,0.594132351,194.12
84,28,351.86,53.808,92.747,0.580158927,204.13
90,30,376.99,52.815,98.345,0.537037979,202.46
96,32,402.12,49.168,95.464,0.51504232,207.11
102,34,427.26,50.696,107.765,0.47043103,200.99
108,36,452.39,46.629,111.043,0.41991841,189.97
114,38,477.52,49.771,128.693,0.386742092,184.68
120,40,502.65,52.989,147.465,0.359332723,180.62
126,42,527.79,51.197,140.791,0.363638301,191.93
132,44,552.92,28.061,75.564,0.371354084,205.33
138,46,578.05,53.39,144.113,0.37047317,214.15
142,48,584.01,50.915,134.156,0.379520856,221.64
