AB/2 (m),MN/2 (m),K,V (mV),I (mA),V/I,App. Res. (Ohm m)
5,1,37.6991,402.15,21.04,19.1136,720.57
10,1,155.5088,141.02,37.33,3.7777,587.46
20,1,626.7477,44.34,83.38,0.5318,333.29
30,1,1412.1459,5.18,36.87,0.1405,198.40
40,1,2511.7033,1.95,29.96,0.0651,163.48
40,5,494.8008,7.89,30.18,0.2614,129.36
50,5,777.5442,8.99,58.67,0.1532,119.14
60,5,1123.1194,7.44,67.16,0.1108,124.42
70,5,1531.5264,7.38,91.76,0.0804,123.18
80,5,2002.7653,3.19,53.23,0.0599,120.02
90,5,2536.8361,4.30,87.55,0.0491,124.60
100,5,3133.7387,1.88,46.52,0.0404,126.64
100,10,1555.0884,3.89,46.38,0.0830,129.01
120,10,2246.2387,3.09,51.12,0.0604,135.78
140,10,3063.0528,2.71,58.75,0.0461,141.29
160,10,4005.5306,2.04,56.38,0.0362,144.93
180,10,5073.6721,1.57,50.09,0.0313,159.03
200,10,6267.4773,0.89,33.77,0.0264,165.18
200,20,3110.1767,1.87,34.02,0.0550,170.96
220,20,3769.9112,2.89,58.85,0.0491,185.16
240,20,4492.4775,1.03,24.88,0.0414,185.98
260,20,5277.8757,2.32,63.30,0.0367,193.44
280,20,6126.1057,1.14,30.33,0.0376,230.26
300,20,7037.1675,0.79,22.35,0.0353,248.74
300,30,4665.2651,1.47,23.03,0.0638,297.78
320,30,5314.5276,1.13,19.66,0.0575,305.46
350,30,6366.9611,1.62,42.08,0.0385,245.12
370,30,7120.9433,4.12,118.26,0.0348,248.08
400,30,8330.4565,1.28,29.91,0.0428,356.50
