AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,384.32370085624325
10.0,1.0,321.7960253269016
20.0,1.0,187.08128724614207
30.0,1.0,146.38418398456486
40.0,1.0,153.20269959867088
40.0,5.0,152.97851329950439
50.0,5.0,170.76069469488377
60.0,5.0,189.3234733848139
70.0,5.0,205.77999658638825
80.0,5.0,219.76622119703958
90.0,5.0,231.52225450881164
100.0,5.0,241.42087410709706
100.0,10.0,240.7805581581556
120.0,10.0,256.73358081346896
140.0,10.0,269.16845992303956
160.0,10.0,279.9506319016382
180.0,10.0,290.28958823967537
200.0,10.0,300.9076049884981
200.0,20.0,300.44626618677614
220.0,20.0,311.7610584674258
240.0,20.0,323.8747908282664
260.0,20.0,336.81933858329546
280.0,20.0,350.5389323534324
300.0,20.0,364.9318628254672
300.0,30.0,364.2314001207483
320.0,30.0,379.17663864550946
350.0,30.0,402.3715510305635
370.0,30.0,418.1878682878239
400.0,30.0,442.19822724869465
