AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,448.8148926344173
10.0,1.0,447.73957792802565
20.0,1.0,439.4178155991862
30.0,1.0,428.3388918167145
40.0,1.0,422.7605064410952
40.0,5.0,423.07105602489855
50.0,5.0,422.59268810883844
60.0,5.0,420.4202364179234
70.0,5.0,415.92898106959626
80.0,5.0,411.34243475724526
90.0,5.0,403.86889321151347
100.0,5.0,394.4958005371932
100.0,10.0,394.9900512441201
120.0,10.0,377.3829965928614
140.0,10.0,363.31221261268746
160.0,10.0,353.96114376567544
180.0,10.0,346.5507455176307
200.0,10.0,343.96627590022376
200.0,20.0,343.9812268874195
220.0,20.0,362.9161655441483
240.0,20.0,383.16788106572574
260.0,20.0,403.1320062560601
280.0,20.0,424.5462886377886
300.0,20.0,445.81003229085127
300.0,30.0,445.4227302871215
320.0,30.0,465.64669225797724
350.0,30.0,495.87295442232545
370.0,30.0,515.3350159264099
400.0,30.0,544.669175497585
