AB/2 (m),MN/2 (m),App. Res. (Ohm m)
6.0,2.0,159.86438442385634
12.0,4.0,132.27221210367708
18.0,6.0,101.76941265352569
24.0,8.0,84.47750051937429
30.0,10.0,78.25999752151192
36.0,12.0,79.64885621923331
42.0,14.0,85.42758071572743
48.0,16.0,90.92610916210634
54.0,18.0,99.27439434171498
60.0,20.0,106.94557092491964
66.0,22.0,116.83905440715773
72.0,24.0,126.10703700498007
78.0,26.0,133.54157381211226
84.0,28.0,140.7658903307761
90.0,30.0,148.44323633727404
96.0,32.0,156.8915751581747
102.0,34.0,163.34997769364765
108.0,36.0,172.22303028982154
114.0,38.0,179.1634832997441
120.0,40.0,185.57697327847856
126.0,42.0,190.862975977237
132.0,44.0,198.3091858474107
138.0,46.0,205.82066900648272
142.0,48.0,208.55904428322071
146.0,50.0,208.36121801622124
150.0,52.0,216.27575209085717
154.0,54.0,217.21505701538558
158.0,56.0,220.72719809369536
162.0,58.0,227.83152860758292
166.0,60.0,230.34257695625698
