AB/2 (m),MN/2 (m),App. Res. (Ohm m)
6.0,2.0,169.18976128399584
12.0,4.0,174.8566574330621
18.0,6.0,178.1866834785916
24.0,8.0,180.52163453939812
30.0,10.0,192.52407673243943
36.0,12.0,197.4691846467799
42.0,14.0,196.90468056048545
48.0,16.0,195.12677901079152
54.0,18.0,188.8207859920818
60.0,20.0,182.79896730872778
66.0,22.0,181.45253909696598
72.0,24.0,184.05913128889685
78.0,26.0,188.95409774332393
84.0,28.0,193.29519895092386
90.0,30.0,195.66996550810637
96.0,32.0,203.6701946525442
102.0,34.0,208.70018269350186
108.0,36.0,212.88767106772397
114.0,38.0,216.34030557374572
120.0,40.0,219.84780937252745
126.0,42.0,231.43300083239887
132.0,44.0,241.08222907829605
138.0,46.0,243.7209618873545
142.0,48.0,250.45809983157812
146.0,50.0,251.84317198670084
150.0,52.0,262.6203316554001
154.0,54.0,261.23180252711603
158.0,56.0,267.32837462185586
162.0,58.0,266.367487036481
166.0,60.0,266.33063261255774
